sample_id,p1,p2,p3,p4,p5,type
309,-0.5,0.5,0.5,0.0,0.5,deterministic
310,-1.0,1.0,1.0,0.0,1.0,deterministic
311,-1.5,1.5,1.5,0.0,1.5,deterministic
312,-2.0,2.0,2.0,0.0,2.0,deterministic
313,-0.5,0.5,0.5,0.5,-0.5,deterministic
314,-1.0,1.0,1.0,1.0,-1.0,deterministic
315,-1.5,1.5,1.5,1.5,-1.5,deterministic
316,-2.0,2.0,2.0,2.0,-2.0,deterministic
317,-0.5,0.5,0.5,0.5,0.0,deterministic
318,-1.0,1.0,1.0,1.0,0.0,deterministic
319,-1.5,1.5,1.5,1.5,0.0,deterministic
320,-2.0,2.0,2.0,2.0,0.0,deterministic
321,-0.5,0.5,0.5,0.5,0.5,deterministic
322,-1.0,1.0,1.0,1.0,1.0,deterministic
323,-1.5,1.5,1.5,1.5,1.5,deterministic
324,-2.0,2.0,2.0,2.0,2.0,deterministic
325,0.0,-0.5,-0.5,-0.5,-0.5,deterministic
326,0.0,-1.0,-1.0,-1.0,-1.0,deterministic
327,0.0,-1.5,-1.5,-1.5,-1.5,deterministic
328,0.0,-2.0,-2.0,-2.0,-2.0,deterministic
329,0.0,-0.5,-0.5,-0.5,0.0,deterministic
330,0.0,-1.0,-1.0,-1.0,0.0,deterministic
331,0.0,-1.5,-1.5,-1.5,0.0,deterministic
332,0.0,-2.0,-2.0,-2.0,0.0,deterministic
333,0.0,-0.5,-0.5,-0.5,0.5,deterministic
334,0.0,-1.0,-1.0,-1.0,1.0,deterministic
335,0.0,-1.5,-1.5,-1.5,1.5,deterministic
336,0.0,-2.0,-2.0,-2.0,2.0,deterministic
337,0.0,-0.5,-0.5,0.0,-0.5,deterministic
338,0.0,-1.0,-1.0,0.0,-1.0,deterministic
339,0.0,-1.5,-1.5,0.0,-1.5,deterministic
340,0.0,-2.0,-2.0,0.0,-2.0,deterministic
341,0.0,-0.5,-0.5,0.0,0.0,deterministic
342,0.0,-1.0,-1.0,0.0,0.0,deterministic
343,0.0,-1.5,-1.5,0.0,0.0,deterministic
344,0.0,-2.0,-2.0,0.0,0.0,deterministic
345,0.0,-0.5,-0.5,0.0,0.5,deterministic
346,0.0,-1.0,-1.0,0.0,1.0,deterministic
347,0.0,-1.5,-1.5,0.0,1.5,deterministic
348,0.0,-2.0,-2.0,0.0,2.0,deterministic
349,0.0,-0.5,-0.5,0.5,-0.5,deterministic
350,0.0,-1.0,-1.0,1.0,-1.0,deterministic
351,0.0,-1.5,-1.5,1.5,-1.5,deterministic
352,0.0,-2.0,-2.0,2.0,-2.0,deterministic
353,0.0,-0.5,-0.5,0.5,0.0,deterministic
354,0.0,-1.0,-1.0,1.0,0.0,deterministic
355,0.0,-1.5,-1.5,1.5,0.0,deterministic
356,0.0,-2.0,-2.0,2.0,0.0,deterministic
357,0.0,-0.5,-0.5,0.5,0.5,deterministic
358,0.0,-1.0,-1.0,1.0,1.0,deterministic
359,0.0,-1.5,-1.5,1.5,1.5,deterministic
360,0.0,-2.0,-2.0,2.0,2.0,deterministic
361,0.0,-0.5,0.0,-0.5,-0.5,deterministic
362,0.0,-1.0,0.0,-1.0,-1.0,deterministic
363,0.0,-1.5,0.0,-1.5,-1.5,deterministic
364,0.0,-2.0,0.0,-2.0,-2.0,deterministic
365,0.0,-0.5,0.0,-0.5,0.0,deterministic
366,0.0,-1.0,0.0,-1.0,0.0,deterministic
367,0.0,-1.5,0.0,-1.5,0.0,deterministic
368,0.0,-2.0,0.0,-2.0,0.0,deterministic
369,0.0,-0.5,0.0,-0.5,0.5,deterministic
370,0.0,-1.0,0.0,-1.0,1.0,deterministic
371,0.0,-1.5,0.0,-1.5,1.5,deterministic
372,0.0,-2.0,0.0,-2.0,2.0,deterministic
373,0.0,-0.5,0.0,0.0,-0.5,deterministic
374,0.0,-1.0,0.0,0.0,-1.0,deterministic
